user_id,movie_id,rating,rnn_score
877,381,4.0,3.588536262512207
815,602,3.0,3.9827396869659424
94,431,4.0,3.3954896926879883
416,875,2.0,3.0842573642730713
500,182,2.0,4.116060256958008
259,1074,3.0,3.1945722103118896
598,286,5.0,3.792773485183716
886,496,4.0,3.861290454864502
837,15,3.0,3.472323179244995
521,184,4.0,3.5054943561553955
459,864,4.0,3.4636974334716797
622,568,4.0,3.347058057785034
655,1197,3.0,3.56270170211792
128,99,4.0,3.325566530227661
308,31,3.0,3.6382293701171875
930,286,3.0,3.7927772998809814
43,14,2.0,3.9061036109924316
42,176,3.0,4.111004829406738
450,618,4.0,3.461055278778076
521,568,3.0,3.347029209136963
698,176,4.0,4.111389636993408
13,476,2.0,3.1325905323028564
796,82,3.0,3.867826223373413
308,492,3.0,3.962250232696533
322,303,3.0,3.6560230255126953
276,408,5.0,4.074761867523193
537,483,4.0,4.7302422523498535
933,180,5.0,3.759838819503784
852,109,3.0,2.9342033863067627
416,156,5.0,4.154165744781494
859,1281,3.0,3.048020362854004
892,2,4.0,3.2948594093322754
378,979,3.0,3.1152689456939697
350,214,3.0,3.154444694519043
393,1165,3.0,1.7671644687652588
240,245,4.0,3.248225212097168
13,326,3.0,3.529831886291504
165,651,5.0,3.9584970474243164
184,95,4.0,3.79648494720459
296,45,5.0,4.1178364753723145
213,318,5.0,4.6793599128723145
217,684,5.0,3.71138072013855
515,682,4.0,3.109524726867676
487,38,2.0,3.1471033096313477
416,257,3.0,3.709423780441284
455,77,4.0,3.3700835704803467
712,1091,3.0,2.758591890335083
748,647,3.0,3.809343099594116
313,230,3.0,3.1435375213623047
77,636,2.0,3.358741521835327
474,276,5.0,3.830845355987549
373,386,3.0,3.119741439819336
312,519,5.0,4.181281566619873
919,1086,4.0,3.3764052391052246
698,205,4.0,4.071735382080078
629,187,5.0,4.311902046203613
868,234,4.0,3.8193132877349854
899,934,3.0,3.0849905014038086
847,240,1.0,2.838285207748413
59,742,3.0,3.907564640045166
634,547,4.0,3.418907642364502
516,431,3.0,3.39558482170105
357,273,5.0,3.532989501953125
883,1448,5.0,2.9369566440582275
533,195,4.0,3.729555368423462
666,204,3.0,3.7880735397338867
387,569,2.0,3.000943422317505
716,235,2.0,2.7952890396118164
503,182,3.0,4.115816116333008
328,810,3.0,2.9805898666381836
26,1015,3.0,2.674292802810669
533,845,4.0,3.3585941791534424
611,324,3.0,3.1326539516448975
303,26,4.0,3.6251392364501953
327,219,4.0,2.923729181289673
301,1016,4.0,3.4046356678009033
577,28,5.0,3.9778988361358643
749,628,4.0,3.820066452026367
727,1446,3.0,3.0803990364074707
589,288,5.0,3.466104030609131
399,395,3.0,2.672736167907715
766,568,2.0,3.3466246128082275
235,100,4.0,3.713094472885132
861,83,5.0,4.004828453063965
648,428,2.0,3.404564619064331
938,289,1.0,2.95255708694458
593,278,3.0,3.3285884857177734
837,111,4.0,3.7159178256988525
916,271,3.0,3.0893571376800537
410,269,5.0,4.162807941436768
634,1142,3.0,4.103659629821777
721,175,5.0,3.7053098678588867
381,473,5.0,3.093888759613037
120,125,4.0,3.6545495986938477
848,647,5.0,3.8092634677886963
