user_id,movie_id,rating,cbf_score
877,381,4.0,3.715727925392075
815,602,3.0,3.9229721671987865
94,431,4.0,3.3142605523162536
416,875,2.0,3.833674213475127
500,182,2.0,3.4007771603365295
259,1074,3.0,3.914234107833419
598,286,5.0,4.136401689362614
886,496,4.0,3.3755707422041565
837,15,3.0,3.2053107357185358
521,184,4.0,3.207792318602447
459,864,4.0,3.1591640750748096
622,568,4.0,3.3436962829434456
655,1197,3.0,2.8115893849551536
128,99,4.0,3.4566525804012382
308,31,3.0,3.7637428127320938
930,286,3.0,2.8960670725199034
43,14,2.0,3.746159631817235
42,176,3.0,4.08212309616273
450,618,4.0,4.149766479165685
521,568,3.0,3.2672530943152
698,176,4.0,2.9201612721138144
13,476,2.0,3.0447668779651567
796,82,3.0,3.727975895605651
308,492,3.0,3.771744142767647
322,303,3.0,4.165217490054846
276,408,5.0,3.402419107907784
537,483,4.0,3.0985708925648185
933,180,5.0,3.1766010495718198
852,109,3.0,3.4175510751892784
416,156,5.0,3.641067691859195
859,1281,3.0,3.7926448031099445
892,2,4.0,3.9751263829300294
378,979,3.0,3.39458014332072
350,214,3.0,4.259372708813616
393,1165,3.0,3.296645164035236
240,245,4.0,3.5181243334103676
13,326,3.0,3.1321101191552585
165,651,5.0,4.27857203599183
184,95,4.0,3.5027444708076594
296,45,5.0,4.155048353002942
213,318,5.0,4.044499831682295
217,684,5.0,2.977732021997646
515,682,4.0,3.1174086072288234
487,38,2.0,3.6609500729079247
416,257,3.0,3.754434532910137
455,77,4.0,3.533724656421192
712,1091,3.0,3.8455253972828145
748,647,3.0,3.888707317046701
313,230,3.0,3.5324392972239784
77,636,2.0,3.748407099876297
474,276,5.0,4.026064913763282
373,386,3.0,3.5715826562877933
312,519,5.0,4.270683185254248
919,1086,4.0,3.6864687409438592
698,205,4.0,3.0101414541098457
629,187,5.0,4.112766818655884
868,234,4.0,2.6342864998143445
899,934,3.0,3.472190912353883
847,240,1.0,2.7175259184747507
59,742,3.0,3.96806745353448
634,547,4.0,3.539323254005821
516,431,3.0,4.41823338397826
357,273,5.0,4.1553100657372255
883,1448,5.0,3.812831419904423
533,195,4.0,3.524752039635454
666,204,3.0,3.6730495600597863
387,569,2.0,3.2601656868285978
716,235,2.0,3.6758717296247334
503,182,3.0,4.138165733356416
328,810,3.0,3.385534970292816
26,1015,3.0,3.1748124718378357
533,845,4.0,3.0580718604952204
611,324,3.0,4.043209532838597
303,26,4.0,3.318752160297312
327,219,4.0,3.531018021421798
301,1016,4.0,3.5934257511526155
577,28,5.0,3.782479068394367
749,628,4.0,3.4979415162634013
727,1446,3.0,3.034306521326647
589,288,5.0,4.275345125786725
399,395,3.0,2.8467460775890845
766,568,2.0,3.1063609689328056
235,100,4.0,3.811521730333348
861,83,5.0,4.1982147799134575
648,428,2.0,3.267600202478181
938,289,1.0,3.4159911315240556
593,278,3.0,3.610187030418842
837,111,4.0,2.9919243127161836
916,271,3.0,3.173814002295115
410,269,5.0,3.0284073548540493
634,1142,3.0,3.207754976199986
721,175,5.0,3.9725098962523324
381,473,5.0,4.013661243234357
120,125,4.0,3.4837463340066215
848,647,5.0,4.312956792830669
854,121,1.0,2.9511275133561568
896,190,5.0,3.2706454345230216
539,610,4.0,4.26998377611596
268,11,4.0,2.9833840888065177
185,50,4.0,4.247063516704168
747,844,4.0,3.99933729455417
526,298,4.0,2.9127179279367583
667,182,5.0,4.198293221800709
717,125,4.0,3.781117108534063
49,919,5.0,2.4024281203551943
592,1281,3.0,3.854501425167288
330,195,3.0,4.480851313532062
189,381,3.0,3.790552893547347
83,845,3.0,2.883912268744864
904,762,2.0,4.201529800241201
705,97,3.0,3.59236900459384
846,1210,2.0,3.6957734222141485
851,1059,3.0,3.2507682970645706
764,9,4.0,3.580493242230318
