user_id,movie_id,rating,svd_score,item_cf_score
877,381,4.0,3.8036000728607178,3.7412987933110653
815,602,3.0,3.848740339279175,3.9194079870457537
94,431,4.0,3.998270034790039,3.6450577604306367
416,875,2.0,3.7211437225341797,3.8704949537645272
500,182,2.0,3.3034746646881104,3.448098296289252
259,1074,3.0,3.8449316024780273,3.9223984281129245
598,286,5.0,3.563462972640991,3.709805068173721
886,496,4.0,3.3236443996429443,3.4971247684165814
837,15,3.0,3.312164545059204,3.0605773017167053
521,184,4.0,3.2565271854400635,3.246911561606054
459,864,4.0,3.5007450580596924,3.435604241060575
622,568,4.0,3.504171371459961,3.550264375170764
655,1197,3.0,2.8599295616149902,2.909449357903672
128,99,4.0,3.7210490703582764,3.7791230297127103
308,31,3.0,3.6351675987243652,3.7617176017302714
930,286,3.0,3.2182695865631104,2.9685899411567727
43,14,2.0,3.8027262687683105,3.853387765283086
42,176,3.0,3.5685555934906006,3.9293939750361506
450,618,4.0,3.928895950317383,4.061733636414803
521,568,3.0,3.196335554122925,3.2282310518657416
698,176,4.0,2.8954379558563232,2.8713714799815877
13,476,2.0,2.9769399166107178,3.3131324874516617
796,82,3.0,3.873706817626953,3.739030240090992
308,492,3.0,4.0323805809021,3.84268374024254
322,303,3.0,4.285945415496826,4.328816727430745
276,408,5.0,4.231230735778809,3.8645497982870634
537,483,4.0,4.08573579788208,3.096868684348412
933,180,5.0,3.1925368309020996,2.947342802804736
852,109,3.0,3.6756985187530518,3.617276763356257
416,156,5.0,4.096452713012695,3.938823244166493
859,1281,3.0,3.920131206512451,4.1002032820063645
892,2,4.0,3.7476937770843506,3.9702967055294165
378,979,3.0,3.5755512714385986,3.4097815769753823
350,214,3.0,4.286861896514893,4.2625318798470015
393,1165,3.0,3.0362048149108887,3.3369009683012467
240,245,4.0,3.5660269260406494,3.754401314911906
13,326,3.0,3.316920280456543,3.134572877945762
165,651,5.0,3.928952932357788,3.9646624323889497
184,95,4.0,3.439427137374878,3.5502364967677966
296,45,5.0,4.323728561401367,4.386443215185891
213,318,5.0,4.67095422744751,4.349711221812462
217,684,5.0,3.0346667766571045,3.027342381462027
515,682,4.0,3.1280221939086914,3.105910352242116
487,38,2.0,3.283289909362793,3.6765925003717035
416,257,3.0,3.4295401573181152,3.932769385174854
