user_id,movie_id,rating,ncf_score
877,381,4.0,3.673191785812378
815,602,3.0,3.7244503498077393
94,431,4.0,3.719590902328491
416,875,2.0,3.28316068649292
500,182,2.0,3.9890127182006836
259,1074,3.0,3.0275440216064453
598,286,5.0,3.6772706508636475
886,496,4.0,3.927582263946533
837,15,3.0,3.338299036026001
521,184,4.0,2.9345829486846924
459,864,4.0,3.1302051544189453
622,568,4.0,3.692272663116455
655,1197,3.0,2.9087648391723633
128,99,4.0,3.675668239593506
308,31,3.0,3.692537784576416
930,286,3.0,2.9843344688415527
43,14,2.0,4.356317043304443
42,176,3.0,4.134400844573975
450,618,4.0,3.755878210067749
521,568,3.0,3.1982028484344482
698,176,4.0,2.764676332473755
13,476,2.0,2.68979811668396
796,82,3.0,3.872340679168701
308,492,3.0,4.014240741729736
322,303,3.0,4.001437664031982
276,408,5.0,4.760634899139404
537,483,4.0,3.660141944885254
933,180,5.0,3.1638262271881104
852,109,3.0,3.8630619049072266
416,156,5.0,4.469120979309082
859,1281,3.0,3.4613308906555176
892,2,4.0,3.5407874584198
378,979,3.0,3.242295742034912
350,214,3.0,3.539459705352783
393,1165,3.0,1.7884207963943481
240,245,4.0,3.039905071258545
13,326,3.0,3.277099132537842
165,651,5.0,4.065491199493408
184,95,4.0,3.741551637649536
296,45,5.0,4.570981979370117
213,318,5.0,5.0901594161987305
217,684,5.0,3.3107237815856934
515,682,4.0,2.6461620330810547
487,38,2.0,3.18379282951355
416,257,3.0,4.153787612915039
455,77,4.0,3.1472251415252686
712,1091,3.0,3.122957706451416
748,647,3.0,3.864920139312744
313,230,3.0,3.3809545040130615
77,636,2.0,3.1482772827148438
474,276,5.0,4.057875633239746
373,386,3.0,2.9324159622192383
312,519,5.0,4.613260269165039
919,1086,4.0,3.2511725425720215
698,205,4.0,2.8418617248535156
629,187,5.0,4.599738597869873
868,234,4.0,3.1423168182373047
899,934,3.0,2.643914222717285
847,240,1.0,2.411316394805908
59,742,3.0,3.895320415496826
634,547,4.0,3.416207790374756
516,431,3.0,3.5115227699279785
357,273,5.0,4.675673961639404
883,1448,5.0,1.8655030727386475
533,195,4.0,3.681853771209717
666,204,3.0,3.7580819129943848
387,569,2.0,2.6927945613861084
716,235,2.0,2.935544967651367
503,182,3.0,4.4956560134887695
328,810,3.0,2.9308621883392334
26,1015,3.0,1.8926008939743042
533,845,4.0,3.288203001022339
611,324,3.0,3.566497802734375
303,26,4.0,3.729926586151123
327,219,4.0,2.9027349948883057
301,1016,4.0,3.5812413692474365
577,28,5.0,4.3260369300842285
749,628,4.0,3.7258477210998535
727,1446,3.0,2.5889012813568115
589,288,5.0,3.526428699493408
399,395,3.0,2.2344274520874023
766,568,2.0,3.400819778442383
235,100,4.0,4.186002254486084
861,83,5.0,4.425034046173096
648,428,2.0,3.7365708351135254
938,289,1.0,3.177297353744507
593,278,3.0,3.199965238571167
837,111,4.0,3.0528688430786133
916,271,3.0,3.1959736347198486
410,269,5.0,3.453111171722412
634,1142,3.0,4.023747444152832
721,175,5.0,3.888871908187866
381,473,5.0,3.308903932571411
120,125,4.0,3.212960720062256
848,647,5.0,4.574584007263184
854,121,1.0,3.0001943111419678
896,190,5.0,3.668513774871826
539,610,4.0,3.8941891193389893
268,11,4.0,3.471756935119629
185,50,4.0,4.445981979370117
